ST_LABEL,L_ZIP,R_ZIP
49 AV,11365,11365
BROOKLYN HOSPITAL CENTER DVWY,11201,11201
BRONX RIVER PARKWAY ET 8 W-E SB,10467,10467
SICKLES ST,10040,10040
WASHINGTON AV,11205,11205
WEST ST,10014,10014
LONG ISLAND EXPY,11368,11368
W 155 ST,10039,10039
W 25 ST,10001,10001
99 ST PEDESTRIAN OPAS,11374,11374
NASSAU EXPY EXIT 2S EB,11430,11430
BRUCKNER BLVD,10454,10454
ALLEY,11234,11234
223 ST,11361,11361
SCHENECTADY AVE,11234,11234
CUTHBERT RD,11415,11415
HAWTHORNE AV,10314,10314
BRONXWOOD AV,10466,10466
92 AV,11428,11428
E TREMONT AVE,10461,10461
BRONX ZOO PATH,10460,10460
ED KOCH QUEENSBORO BRG,11101,11101
95 AV,11416,11416
CONNECTOR,11101,11101
92 AV,11428,11428
BRUSH AV,10465,10465
11 AV,11356,11356
BORINQUEN PZ II PEDESTRIAN PATH,11206,11206
ALLEY,11229,11229
JOLINE AV,10307,10307
FRANKLIN D ROOSEVELT DRIVE,10004,10004
144 ST,11436,11436
235 ST,11422,11422
ALLEY,11697,11697
E 137 ST,10454,10454
40 AV,11101,11101
GRAND CENTRAL PKWY,11367,11367
SCOTT AV,11237,11237
DIVISION ST,10002,10002
95 ST,11369,11369
HAMDEN AV,10306,10306
RAWLINS AV,10465,10465
MLK EXWY SB EN MORNINGSTAR RD,10302,10302
28 AV,11354,11354
13 ST,11101,11101
SEXTON PL,10469,10469
TILLOTSON AV,10475,10475
AV U,11223,11223
BIKE PATH,11368,11368
FARRAGUT RD,11203,11203
84 ST,11379,11379
W 228 ST,10463,10463
108 AV,11433,11433
54 ST,11220,11220
176 ST,11434,11434
ATLANTIC AV,11416,11416
LONG ISLAND EXPWY ET 27 N EB,11364,11364
MT OLIVET CRESCENT,11378,11378
STATEN IS EXWY,10314,10314
E BURNSIDE AV,10457,10457
86 ST,11209,11209
WILLOW RD W,10314,10314
BROOKLYN AV,11203,11203
MC KINLEY AV,11208,11208
E TREMONT AV,10460,10460
GRANT AV,10456,10456
185 ST,11423,11423
BLEECKER ST,11385,11385
ALLEY,11420,11420
38 AV,11361,11361
E 165 ST,10456,10456
225 ST,11413,11413
HEINZ AV,10308,10308
HUTCHINSON RIVER PARKWAY E,10475,10475
AMBASSADOR LA,10309,10309
SANCHEZ DR,10306,10306
E 198 ST,10458,10458
FULTON ST,11216,11216
AUDUBON AVE,10032,10032
OCEAN PKWY,11218,11218
REMSEN AV,11236,11236
BATTERY PARK UNDERPASS,10280,10280
DEBEVOISE AV,11222,11222
SPRINGFIELD BLVD,11428,11428
E 169 ST,10456,10456
229 DRIVE N,10466,10466
W 34 ST,10001,10001
E HOUSTON ST,10002,10002
GUERNSEY ST,11222,11222
GREENWAY N,11375,11375
CORTELYOU AV,10312,10312
HATFIELD PL,10302,10302
BROADWAY,10027,10027
50 AV,11377,11377
HELL GATE BRG,11105,11105
BELT PKWY,11414,11414
45 AV,11358,11358
MADELINE CT,11220,11220
BOELSEN CR,11374,11374
MURRAY AV,11359,11359
7 AV,11357,11357
THOMAS S BOYLAND ST,11233,11233
GRAND CONCOURSE,10468,10458
36 ST,11218,11218
86 AV,11426,11426
LEXINGTON AV,10028,10028
ST JOHNS AVENUE,10305,10305
ROGERS AV,11226,11226
SCHLEY AV,10465,10465
E 31 ST,11210,11210
ROCKAWAY BEACH BLVD,11694,11694
CITY ISLAND RD,10464,10464
E 146 ST,10451,10451
INWOOD ST,11435,11435
