,hood_name,amount,borough_name,latitude,longitude,log_amount,Manhattan_drive_time,Manhattan_subway_time,JFK_airport_drive_time
129,Hunters Point,1250152.0,QUEENS,40.74341409007358,-73.95386782130753,6.096962820006455,15.3,10.2,26.083333333333332
130,Hunts Point,631906.5,BRONX,40.809729879387135,-73.88331505955298,5.800652822684155,32.36666666666667,56.25,32.38333333333333
131,Inwood,478409.0,MANHATTAN,40.86768396449919,-73.92121042203905,5.6797993411592245,28.883333333333333,38.3,37.06666666666667
132,Jackson Heights,941528.0,QUEENS,40.751981380073715,-73.88282109164372,5.973833239981654,24.65,33.9,26.183333333333334
133,Jamaica Center,635173.0,QUEENS,40.704657360687214,-73.79690165888296,5.802892028776357,33.75,46.31666666666667,18.083333333333332
134,Jamaica Estates,909148.5,QUEENS,40.716804830146174,-73.78722696936667,5.95863482652578,29.3,46.8,20.733333333333334
135,Jamaica Hills,924499.0,QUEENS,40.71145964370486,-73.796464620816,5.965906445733465,30.85,41.75,19.6
136,Kensington,1199048.5,BROOKLYN,40.64238195800357,-73.98042110559481,6.078836750118344,33.63333333333333,42.38333333333333,41.583333333333336
137,Kew Gardens,1133736.0,QUEENS,40.705179035414844,-73.8298190582571,6.054511937192485,29.8,48.93333333333333,17.283333333333335
138,Kew Gardens Hills,844107.5,QUEENS,40.72257824422808,-73.82087764933573,5.926397759047249,27.15,49.0,16.933333333333334
139,Kingsbridge,328997.5,BRONX,40.88168737120525,-73.90281798724611,5.517192597827391,35.333333333333336,45.86666666666667,38.18333333333333
140,Laurelton,491495.0,QUEENS,40.667883896602504,-73.74025607989829,5.691519104093984,38.21666666666667,76.91666666666667,11.266666666666667
141,Lefrak City,949564.0,QUEENS,40.73607457083084,-73.86252471413746,5.977524241226953,25.416666666666668,34.4,20.383333333333333
142,Lenox Hill,999444.0,MANHATTAN,40.76811265828737,-73.95885968813766,5.99975846511514,21.416666666666668,13.15,37.86666666666667
143,Lighthouse Hill,563194.0,STATEN ISLAND,40.576506293794935,-74.13792663771576,5.750658019392628,46.6,76.5,43.13333333333333
144,Lincoln Square,1066367.0,MANHATTAN,40.773528889421705,-73.9853377700127,6.027906696852487,18.966666666666665,16.216666666666665,42.85
145,Lindenwood,682264.0,QUEENS,40.66391841925143,-73.84963782402448,5.833952456119676,38.75,78.93333333333334,12.45
146,Little Italy,1397524.0,MANHATTAN,40.71932379395911,-73.9973046720808,6.145359274861192,16.1,16.0,36.95
147,Little Neck,1001583.0,QUEENS,40.77082619282674,-73.73889775580747,6.000686944591545,33.2,39.35,23.033333333333335
148,Long Island City,1326193.0,QUEENS,40.75021734610532,-73.93920223915512,6.122606731260053,19.1,18.483333333333334,30.033333333333335
149,Longwood,595731.0,BRONX,40.815099045458254,-73.89578820094466,5.775050200029419,28.2,46.88333333333333,29.683333333333334
150,Lower East Side,956284.0,MANHATTAN,40.71780674892769,-73.98089031999298,5.980586889468742,18.15,24.45,35.31666666666667
151,Madison,802419.5,BROOKLYN,40.609377701137696,-73.948415153289,5.904401474149319,48.166666666666664,49.05,28.616666666666667
152,Malba,1110734.0,QUEENS,40.790601556701525,-73.8266775713865,6.045610065994153,28.4,53.5,22.05
153,Manhattan Beach,1564857.0,BROOKLYN,40.57791350308661,-73.94353722891894,6.194474656931394,47.21666666666667,65.75,25.333333333333332
