,amount,borough_name,hood_name,total_crime,Latitude,Longitude,Manhattan_drive_time,Manhattan_subway_time,JFK_airport_drive_time
146,1108952.0,MANHATTAN,Noho,63,40.72325901885772,-73.98843368023604,17.383333333333333,21.8,37.48333333333333
147,718267.0,MANHATTAN,Roosevelt Island,3,40.762403730702246,-73.9494705736962,24.18333333333333,19.35,35.65
148,3510702.0,MANHATTAN,Soho,29,40.72218384131798,-74.00065666959766,12.9,15.2,39.46666666666667
149,836911.0,MANHATTAN,Stuyvesant Town,14,40.73099955477065,-73.9740517046921,15.083333333333336,17.983333333333334,33.5
150,1157966.0,MANHATTAN,Sutton Place,59,40.76028033131378,-73.9635561409431,18.733333333333334,20.633333333333333,32.45
151,3579060.5,MANHATTAN,Tribeca,20,40.72152196744325,-74.01068328559093,16.3,21.05,43.78333333333333
152,873520.0,MANHATTAN,Tudor City,13,40.74691741074023,-73.97121928722272,12.083333333333336,23.65,28.6
153,868950.0,MANHATTAN,Turtle Bay,38,40.75204236950726,-73.96770824581843,13.766666666666667,21.766666666666666,30.216666666666665
154,1627817.0,MANHATTAN,Upper East Side,20,40.77563857330185,-73.96050763135005,21.716666666666665,18.2,37.25
155,1195420.0,MANHATTAN,Upper West Side,67,40.7876579985349,-73.97705923630609,22.03333333333333,17.283333333333335,42.06666666666667
156,585055.0,MANHATTAN,Washington Heights,121,40.85190252555309,-73.93690027985242,27.78333333333333,38.68333333333333,36.63333333333333
157,1376298.0,MANHATTAN,West Village,32,40.734433935724375,-74.00617998126819,11.5,8.783333333333333,44.83333333333334
158,743266.0,MANHATTAN,Yorkville,35,40.77592984988492,-73.94711784471833,18.966666666666665,19.516666666666666,31.86666666666667
159,922134.0,QUEENS,Arverne,18,40.58914394372975,-73.7919923313695,54.71666666666667,76.51666666666667,28.41666666666667
160,1374460.0,QUEENS,Astoria,76,40.768508593354966,-73.9156537430424,22.98333333333333,30.53333333333333,25.55
161,1158351.0,QUEENS,Astoria Heights,11,40.770317392998244,-73.89467996270581,23.25,113.45,24.38333333333333
